0.632502	1.2427e-05	0.935551	3.46433e-05
0.632549	2.48559e-05	0.935576	6.93013e-05
0.632596	3.72866e-05	0.935601	0.000103974
0.632643	4.97192e-05	0.935626	0.000138661
0.63269	6.21536e-05	0.935652	0.000173363
0.632737	7.45899e-05	0.935678	0.000208079
0.632784	8.70281e-05	0.935704	0.000242811
0.632831	9.94681e-05	0.935731	0.000277556
0.632878	0.00011191	0.935758	0.000312317
0.632925	0.000124354	0.935785	0.000347091
0.632972	0.000136799	0.935812	0.000381881
0.63302	0.000149247	0.93584	0.000416685
0.633067	0.000161696	0.935869	0.000451504
0.633114	0.000174147	0.935898	0.000486337
0.633161	0.0001866	0.935927	0.000521185
0.633209	0.000199055	0.935956	0.000556047
0.633256	0.000211511	0.935986	0.000590924
0.633303	0.00022397	0.936016	0.000625815
0.633351	0.00023643	0.936046	0.000660722
0.633398	0.000248892	0.936077	0.000695642
0.633446	0.000261356	0.936108	0.000730577
0.633493	0.000273822	0.936139	0.000765527
0.633541	0.00028629	0.936171	0.000800491
0.633589	0.00029876	0.936203	0.00083547
0.633636	0.000311231	0.936236	0.000870463
0.633684	0.000323705	0.936269	0.000905471
0.633732	0.00033618	0.936302	0.000940494
0.633779	0.000348657	0.936335	0.00097553
0.633827	0.000361135	0.936369	0.00101058
0.633875	0.000373616	0.936404	0.00104565
0.633923	0.000386099	0.936438	0.00108073
0.633971	0.000398583	0.936473	0.00111582
0.634019	0.000411069	0.936508	0.00115093
0.634067	0.000423557	0.936544	0.00118606
0.634115	0.000436047	0.93658	0.00122119
0.634163	0.000448539	0.936616	0.00125635
0.634211	0.000461033	0.936653	0.00129151
0.634259	0.000473528	0.93669	0.0013267
0.634307	0.000486025	0.936727	0.00136189
0.634355	0.000498525	0.936765	0.0013971
0.634403	0.000511026	0.936803	0.00143233
0.634451	0.000523528	0.936842	0.00146757
0.6345	0.000536033	0.93688	0.00150282
0.634548	0.00054854	0.93692	0.00153809
0.634596	0.000561048	0.936959	0.00157337
0.634645	0.000573558	0.936999	0.00160867
0.634693	0.00058607	0.937039	0.00164398
0.634742	0.000598584	0.93708	0.00167931
0.63479	0.0006111	0.937121	0.00171465
0.634839	0.000623617	0.937162	0.00175
0.634887	0.000636137	0.937204	0.00178537
0.634936	0.000648658	0.937245	0.00182076
0.634984	0.000661181	0.937288	0.00185615
0.635033	0.000673706	0.93733	0.00189157
0.635082	0.000686233	0.937374	0.00192699
0.635131	0.000698762	0.937417	0.00196243
0.635179	0.000711292	0.937461	0.00199789
0.635228	0.000723824	0.937505	0.00203336
0.635277	0.000736358	0.937549	0.00206884
0.635326	0.000748894	0.937594	0.00210434
0.635375	0.000761432	0.937639	0.00213986
0.635424	0.000773972	0.937685	0.00217538
0.635473	0.000786513	0.937731	0.00221092
0.635522	0.000799057	0.937777	0.00224648
0.635571	0.000811602	0.937823	0.00228205
0.63562	0.000824149	0.93787	0.00231764
0.635669	0.000836698	0.937918	0.00235323
0.635718	0.000849248	0.937965	0.00238885
0.635767	0.000861801	0.938013	0.00242447
0.635817	0.000874355	0.938062	0.00246012
0.635866	0.000886912	0.938111	0.00249577
0.635915	0.00089947	0.93816	0.00253144
0.635965	0.000912029	0.938209	0.00256713
0.636014	0.000924591	0.938259	0.00260283
0.636063	0.000937155	0.938309	0.00263854
0.636113	0.00094972	0.93836	0.00267427
0.636162	0.000962287	0.938411	0.00271001
0.636212	0.000974856	0.938462	0.00274577
0.636261	0.000987427	0.938513	0.00278154
0.636311	0.001	0.938565	0.00281732
0.636361	0.00101257	0.938618	0.00285312
0.63641	0.00102515	0.938671	0.00288893
0.63646	0.00103773	0.938724	0.00292476
0.63651	0.00105031	0.938777	0.0029606
0.63656	0.00106289	0.938831	0.00299646
0.636609	0.00107548	0.938885	0.00303233
0.636659	0.00108806	0.938939	0.00306821
0.636709	0.00110065	0.938994	0.00310411
0.636759	0.00111324	0.93905	0.00314002
0.636809	0.00112583	0.939105	0.00317595
0.636859	0.00113842	0.939161	0.00321189
0.636909	0.00115102	0.939217	0.00324784
0.636959	0.00116361	0.939274	0.00328381
0.637009	0.00117621	0.939331	0.00331979
0.63706	0.00118881	0.939389	0.00335579
0.63711	0.00120141	0.939446	0.0033918
0.63716	0.00121402	0.939505	0.00342783
0.63721	0.00122662	0.939563	0.00346387
0.637261	0.00123923	0.939622	0.00349992
0.637311	0.00125184	0.939681	0.00353599
0.637361	0.00126445	0.939741	0.00357207
0.637412	0.00127706	0.939801	0.00360817
0.637462	0.00128968	0.939861	0.00364428
0.637513	0.0013023	0.939922	0.0036804
0.637563	0.00131491	0.939983	0.00371654
0.637614	0.00132754	0.940044	0.00375269
0.637665	0.00134016	0.940106	0.00378886
0.637715	0.00135278	0.940168	0.00382504
0.637766	0.00136541	0.940231	0.00386124
0.637817	0.00137804	0.940294	0.00389745
0.637867	0.00139066	0.940357	0.00393367
0.637918	0.0014033	0.940421	0.00396991
0.637969	0.00141593	0.940485	0.00400616
0.63802	0.00142856	0.940549	0.00404242
0.638071	0.0014412	0.940614	0.0040787
0.638122	0.00145384	0.940679	0.004115
0.638173	0.00146648	0.940745	0.0041513
0.638224	0.00147912	0.94081	0.00418762
0.638275	0.00149177	0.940877	0.00422396
0.638326	0.00150441	0.940943	0.00426031
0.638377	0.00151706	0.94101	0.00429667
0.638429	0.00152971	0.941078	0.00433305
0.63848	0.00154236	0.941145	0.00436944
0.638531	0.00155502	0.941213	0.00440585
0.638582	0.00156767	0.941282	0.00444226
0.638634	0.00158033	0.941351	0.0044787
